Study_Hours,Attendance,Previous_Mark,Assignment_Score,Sleep_Hours,Absences,Final_Mark
2,65,55,60,5,10,58
4,78,67,72,6,6,70
6,90,82,85,7,2,86
8,95,91,94,8,1,94
3,70,61,65,5,8,63
5,84,75,78,7,4,78
7,92,85,88,8,2,89
1,55,48,50,4,14,45
9,98,94,96,8,0,97
4,76,65,70,6,7,68
6,88,79,82,7,3,82
2,62,58,61,5,11,55
8,94,88,91,8,1,92
5,82,73,76,6,5,76
7,91,84,87,7,2,88
3,68,60,64,5,9,61
10,99,96,98,9,0,98
4,75,69,73,6,6,71
6,87,77,80,7,4,80
8,96,90,93,8,1,93
2,60,52,57,4,12,50
5,80,71,74,6,5,74
7,89,83,86,7,3,85
9,97,92,95,8,0,96
3,72,63,67,5,8,65
6,86,81,84,7,2,84
4,79,68,71,6,7,70
8,93,87,90,8,1,91
5,83,74,79,6,4,78
7,90,86,89,7,2,89
